record_id,transaction_id,transaction_date,transaction_month,fiscal_year,fiscal_quarter,transaction_type,sales_region,country,division,department,sales_manager,product_team,product_category,product_name,customer_segment,customer_id,customer_name,vendor_id,vendor_name,customer_agreement_id,customer_agreement_status,purchase_agreement_id,purchase_agreement_status,approval_level,approval_status,approver_role,approval_pending_days,sales_quantity,sales_revenue,purchase_cost,inventory_opening_value,inventory_closing_value,inventory_movement_value,administration_expense,operation_expense,marketing_expense,employee_count,employee_payroll_amount,customer_service_cases,customer_service_cost,total_expense,gross_profit,gross_profit_margin,net_profit,net_profit_margin,payroll_to_revenue_ratio,transaction_amount,profit_status,risk_level,risk_flag,recommended_action
ERP0000011,TRX0000011,2025-07-02,2025-07,FY2026,Q1,Sales Invoice,Middle East,Bahrain,Industrial Supplies,Sales,Aisha Khan,Enterprise Solutions,Tools,Tools 954,Government,CUST00372,Customer 00372,,,CA-98192,Expiring Soon,,,Level 4 - CFO,Rejected,CFO,0,83,248777.74,0,0,0,0,0,0,0,0,0,0,0,0,248777.74,1,248777.74,1,0,248777.74,Profitable,Medium,Review Required,Review agreement or risk condition
ERP0000012,TRX0000012,2025-07-02,2025-07,FY2026,Q1,Purchase Order,Middle East,UAE,Software Services,Purchase,Priya Nair,Customer Experience,Support Plan,Support Plan 144,Enterprise,,,VEND00148,Vendor 00148,,,PA-37291,Expiring Soon,Level 3 - Head of Department,Rejected,Head of Department,0,0,0,88565.15,0,0,0,0,0,0,0,0,0,0,0,-88565.15,0,-88565.15,0,0,88565.15,Loss,High,Review Required,Review margin and cost allocation
ERP0000013,TRX0000013,2025-07-02,2025-07,FY2026,Q1,Inventory Receipt,Middle East,Saudi Arabia,Industrial Supplies,Inventory,Bilal Hussain,Customer Experience,Tools,Tools 555,Retail,,,VEND00271,Vendor 00271,,,PA-98452,Expiring Soon,Level 3 - Head of Department,Rejected,Head of Department,0,0,0,55074.54,222554.23,307284.29,84730.06,0,0,0,0,0,0,0,0,-55074.54,0,-55074.54,0,0,84730.06,Loss,High,Review Required,Review margin and cost allocation
ERP0000014,TRX0000014,2025-07-02,2025-07,FY2026,Q1,Payroll Allocation,Middle East,UAE,Software Services,Payroll,Grace Thomas,Digital Commerce,Implementation,Implementation 324,SME,,,,,,,,,Level 5 - CEO,Approved,CEO,0,0,0,0,0,0,0,0,0,0,52,530832.12,0,0,530832.12,0,0,-530832.12,0,0,530832.12,Loss,High,Review Required,Review margin and cost allocation
ERP0000015,TRX0000015,2025-07-02,2025-07,FY2026,Q1,Administration Expense,Middle East,Saudi Arabia,Software Services,Administration,Sara Rahman,Digital Commerce,SaaS License,SaaS License 226,Government,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,35168.71,0,0,0,0,0,0,35168.71,0,0,-35168.71,0,0,35168.71,Loss,High,Review Required,Review margin and cost allocation
ERP0000016,TRX0000016,2025-07-02,2025-07,FY2026,Q1,Operations Expense,Middle East,Qatar,Software Services,Operations,Grace Thomas,Digital Commerce,Implementation,Implementation 730,Retail,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,49910.27,0,0,0,0,0,49910.27,0,0,-49910.27,0,0,49910.27,Loss,High,Review Required,Review margin and cost allocation
ERP0000017,TRX0000017,2025-07-02,2025-07,FY2026,Q1,Marketing Expense,Middle East,Qatar,Industrial Supplies,Marketing,Mohamed Rafi,Regional Growth,Safety Equipment,Safety Equipment 310,Retail,,,,,,,,,Level 3 - Head of Department,Approved,Head of Department,0,0,0,0,0,0,0,0,0,66615.82,0,0,0,0,66615.82,0,0,-66615.82,0,0,66615.82,Loss,High,Review Required,Review margin and cost allocation
ERP0000018,TRX0000018,2025-07-02,2025-07,FY2026,Q1,Customer Service Cost,Middle East,Qatar,Office Equipment,Customer Service,Bilal Hussain,Enterprise Solutions,Workstations,Workstations 757,Channel Partner,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,0,0,0,0,87,47117.46,47117.46,0,0,-47117.46,0,0,47117.46,Loss,High,Review Required,Review margin and cost allocation
ERP0000019,TRX0000019,2025-07-02,2025-07,FY2026,Q1,Refund / Credit Note,Middle East,Kuwait,Consumer Electronics,Finance,Mohamed Rafi,Core Products,Accessories,Accessories 564,Channel Partner,CUST00454,Customer 00454,,,CA-44790,Under Review,,,Level 1 - Department Manager,Approved,Department Manager,0,0,-8736.42,0,0,0,0,0,0,0,0,0,0,0,0,-8736.42,0,-8736.42,0,0,8736.42,Loss,High,Review Required,Review margin and cost allocation
ERP0000020,TRX0000020,2025-07-02,2025-07,FY2026,Q1,Approval Workflow,Middle East,Qatar,Software Services,Finance,Omar Ali,Core Products,SaaS License,SaaS License 549,Channel Partner,,,,,,,,,Level 5 - CEO,Rejected,CEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677573.08,Low Margin,High,Review Required,Review agreement or risk condition
ERP0000021,TRX0000021,2025-07-03,2025-07,FY2026,Q1,Sales Invoice,Middle East,UAE,Industrial Supplies,Sales,Aisha Khan,Regional Growth,Tools,Tools 882,Channel Partner,CUST00568,Customer 00568,,,CA-90170,Expiring Soon,,,Level 4 - CFO,Rejected,CFO,0,101,160379.24,0,0,0,0,0,0,0,0,0,0,0,0,160379.24,1,160379.24,1,0,160379.24,Profitable,Medium,Review Required,Review agreement or risk condition
ERP0000022,TRX0000022,2025-07-03,2025-07,FY2026,Q1,Purchase Order,Middle East,Saudi Arabia,Healthcare Products,Purchase,Omar Ali,Digital Commerce,Medical Supplies,Medical Supplies 549,Enterprise,,,VEND00078,Vendor 00078,,,PA-71663,Active,Level 3 - Head of Department,Approved,Head of Department,0,0,0,117543.8,0,0,0,0,0,0,0,0,0,0,0,-117543.8,0,-117543.8,0,0,117543.8,Loss,High,Review Required,Review margin and cost allocation
ERP0000023,TRX0000023,2025-07-03,2025-07,FY2026,Q1,Inventory Receipt,Middle East,UAE,Healthcare Products,Inventory,Aisha Khan,Customer Experience,Wellness,Wellness 459,SME,,,VEND00040,Vendor 00040,,,PA-42807,Expiring Soon,Level 3 - Head of Department,Approved,Head of Department,0,0,0,34864.37,192519.6,246157.09,53637.49,0,0,0,0,0,0,0,0,-34864.37,0,-34864.37,0,0,53637.49,Loss,High,Review Required,Review margin and cost allocation
ERP0000024,TRX0000024,2025-07-03,2025-07,FY2026,Q1,Payroll Allocation,Middle East,UAE,Retail Distribution,Payroll,Sara Rahman,Enterprise Solutions,General Merchandise,General Merchandise 144,Channel Partner,,,,,,,,,Level 5 - CEO,Approved,CEO,0,0,0,0,0,0,0,0,0,0,70,638708,0,0,638708,0,0,-638708,0,0,638708,Loss,High,Review Required,Review margin and cost allocation
ERP0000025,TRX0000025,2025-07-03,2025-07,FY2026,Q1,Administration Expense,Middle East,Oman,Office Equipment,Administration,Bilal Hussain,Enterprise Solutions,Furniture,Furniture 136,SME,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,31375.7,0,0,0,0,0,0,31375.7,0,0,-31375.7,0,0,31375.7,Loss,High,Review Required,Review margin and cost allocation
ERP0000026,TRX0000026,2025-07-03,2025-07,FY2026,Q1,Operations Expense,Middle East,Qatar,Consumer Electronics,Operations,Omar Ali,Enterprise Solutions,Home Electronics,Home Electronics 261,Channel Partner,,,,,,,,,Level 3 - Head of Department,Pending,Head of Department,15,0,0,0,0,0,0,0,50574.67,0,0,0,0,0,50574.67,0,0,-50574.67,0,0,50574.67,Loss,High,Review Required,Follow up approval
ERP0000027,TRX0000027,2025-07-03,2025-07,FY2026,Q1,Marketing Expense,Middle East,Oman,Industrial Supplies,Marketing,Omar Ali,Enterprise Solutions,Safety Equipment,Safety Equipment 558,Channel Partner,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,0,47771.01,0,0,0,0,47771.01,0,0,-47771.01,0,0,47771.01,Loss,High,Review Required,Review margin and cost allocation
ERP0000028,TRX0000028,2025-07-03,2025-07,FY2026,Q1,Customer Service Cost,Middle East,UAE,Retail Distribution,Customer Service,Sara Rahman,Enterprise Solutions,General Merchandise,General Merchandise 696,Retail,,,,,,,,,Level 1 - Department Manager,Approved,Department Manager,0,0,0,0,0,0,0,0,0,0,0,0,50,8382,8382,0,0,-8382,0,0,8382,Loss,High,Review Required,Review margin and cost allocation
ERP0000029,TRX0000029,2025-07-03,2025-07,FY2026,Q1,Refund / Credit Note,Middle East,UAE,Healthcare Products,Finance,Priya Nair,Core Products,Wellness,Wellness 679,Enterprise,CUST00501,Customer 00501,,,CA-56029,Active,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,-13808.51,0,0,0,0,0,0,0,0,0,0,0,0,-13808.51,0,-13808.51,0,0,13808.51,Loss,High,Review Required,Review margin and cost allocation
ERP0000030,TRX0000030,2025-07-03,2025-07,FY2026,Q1,Approval Workflow,Middle East,UAE,Consumer Electronics,Finance,Mohamed Rafi,Customer Experience,Smart Devices,Smart Devices 786,SME,,,,,,,,,Level 4 - CFO,Escalated,CFO,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383105.07,Low Margin,High,Review Required,Escalate to senior approver
ERP0000031,TRX0000031,2025-07-04,2025-07,FY2026,Q1,Sales Invoice,Middle East,Qatar,Consumer Electronics,Sales,Grace Thomas,Digital Commerce,Accessories,Accessories 284,Retail,CUST00309,Customer 00309,,,CA-84259,Active,,,Level 4 - CFO,Pending,CFO,26,160,157045.65,0,0,0,0,0,0,0,0,0,0,0,0,157045.65,1,157045.65,1,0,157045.65,Profitable,Medium,Normal,Follow up approval
ERP0000032,TRX0000032,2025-07-04,2025-07,FY2026,Q1,Purchase Order,Middle East,Qatar,Industrial Supplies,Purchase,Omar Ali,Regional Growth,Machinery Parts,Machinery Parts 376,Retail,,,VEND00111,Vendor 00111,,,PA-60042,Expiring Soon,Level 3 - Head of Department,Approved,Head of Department,0,0,0,143670.13,0,0,0,0,0,0,0,0,0,0,0,-143670.13,0,-143670.13,0,0,143670.13,Loss,High,Review Required,Review margin and cost allocation
ERP0000033,TRX0000033,2025-07-04,2025-07,FY2026,Q1,Inventory Receipt,Middle East,Kuwait,Office Equipment,Inventory,Sara Rahman,Regional Growth,Workstations,Workstations 898,Enterprise,,,VEND00219,Vendor 00219,,,PA-76509,Active,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,7714.14,90873.78,102741.69,11867.91,0,0,0,0,0,0,0,0,-7714.14,0,-7714.14,0,0,11867.91,Loss,High,Review Required,Review margin and cost allocation
ERP0000034,TRX0000034,2025-07-04,2025-07,FY2026,Q1,Payroll Allocation,Middle East,Oman,Office Equipment,Payroll,Noura Ahmed,Regional Growth,Workstations,Workstations 737,Channel Partner,,,,,,,,,Level 4 - CFO,Escalated,CFO,8,0,0,0,0,0,0,0,0,0,34,283303.64,0,0,283303.64,0,0,-283303.64,0,0,283303.64,Loss,High,Review Required,Escalate to senior approver
ERP0000035,TRX0000035,2025-07-04,2025-07,FY2026,Q1,Administration Expense,Middle East,Oman,Industrial Supplies,Administration,Priya Nair,Regional Growth,Tools,Tools 370,SME,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,24734.35,0,0,0,0,0,0,24734.35,0,0,-24734.35,0,0,24734.35,Loss,High,Review Required,Review margin and cost allocation
ERP0000036,TRX0000036,2025-07-04,2025-07,FY2026,Q1,Operations Expense,Middle East,Saudi Arabia,Consumer Electronics,Operations,Grace Thomas,Enterprise Solutions,Smart Devices,Smart Devices 892,Channel Partner,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,12788.75,0,0,0,0,0,12788.75,0,0,-12788.75,0,0,12788.75,Loss,High,Review Required,Review margin and cost allocation
ERP0000037,TRX0000037,2025-07-04,2025-07,FY2026,Q1,Marketing Expense,Middle East,Saudi Arabia,Office Equipment,Marketing,Sara Rahman,Digital Commerce,Printers,Printers 909,Enterprise,,,,,,,,,Level 1 - Department Manager,Approved,Department Manager,0,0,0,0,0,0,0,0,0,7591.34,0,0,0,0,7591.34,0,0,-7591.34,0,0,7591.34,Loss,High,Review Required,Review margin and cost allocation
ERP0000038,TRX0000038,2025-07-04,2025-07,FY2026,Q1,Customer Service Cost,Middle East,Oman,Consumer Electronics,Customer Service,Omar Ali,Core Products,Home Electronics,Home Electronics 751,SME,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,0,0,0,0,71,24798.17,24798.17,0,0,-24798.17,0,0,24798.17,Loss,High,Review Required,Review margin and cost allocation
ERP0000039,TRX0000039,2025-07-04,2025-07,FY2026,Q1,Refund / Credit Note,Middle East,UAE,Consumer Electronics,Finance,Priya Nair,Core Products,Accessories,Accessories 613,Channel Partner,CUST00223,Customer 00223,,,CA-89760,Expiring Soon,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,-25339.77,0,0,0,0,0,0,0,0,0,0,0,0,-25339.77,0,-25339.77,0,0,25339.77,Loss,High,Review Required,Review margin and cost allocation
ERP0000040,TRX0000040,2025-07-04,2025-07,FY2026,Q1,Approval Workflow,Middle East,UAE,Software Services,Finance,Mohamed Rafi,Enterprise Solutions,SaaS License,SaaS License 600,Retail,,,,,,,,,Level 4 - CFO,Escalated,CFO,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411312.6,Low Margin,High,Review Required,Escalate to senior approver
ERP0000041,TRX0000041,2025-07-05,2025-07,FY2026,Q1,Sales Invoice,Middle East,UAE,Consumer Electronics,Sales,Noura Ahmed,Enterprise Solutions,Accessories,Accessories 872,Retail,CUST00574,Customer 00574,,,CA-77504,Active,,,Level 4 - CFO,Pending,CFO,20,131,207871.8,0,0,0,0,0,0,0,0,0,0,0,0,207871.8,1,207871.8,1,0,207871.8,Profitable,Medium,Normal,Follow up approval
ERP0000042,TRX0000042,2025-07-05,2025-07,FY2026,Q1,Purchase Order,Middle East,Saudi Arabia,Office Equipment,Purchase,Mohamed Rafi,Enterprise Solutions,Printers,Printers 872,Government,,,VEND00110,Vendor 00110,,,PA-42777,Active,Level 3 - Head of Department,Approved,Head of Department,0,0,0,139800.98,0,0,0,0,0,0,0,0,0,0,0,-139800.98,0,-139800.98,0,0,139800.98,Loss,High,Review Required,Review margin and cost allocation
ERP0000043,TRX0000043,2025-07-05,2025-07,FY2026,Q1,Inventory Receipt,Middle East,Qatar,Office Equipment,Inventory,Grace Thomas,Core Products,Workstations,Workstations 230,Retail,,,VEND00203,Vendor 00203,,,PA-46521,Expiring Soon,Level 3 - Head of Department,Pending,Head of Department,22,0,0,35775.75,342789.38,397829,55039.62,0,0,0,0,0,0,0,0,-35775.75,0,-35775.75,0,0,55039.62,Loss,High,Review Required,Follow up approval
ERP0000044,TRX0000044,2025-07-05,2025-07,FY2026,Q1,Payroll Allocation,Middle East,Saudi Arabia,Industrial Supplies,Payroll,Aisha Khan,Regional Growth,Machinery Parts,Machinery Parts 921,Enterprise,,,,,,,,,Level 5 - CEO,Approved,CEO,0,0,0,0,0,0,0,0,0,0,62,850987.82,0,0,850987.82,0,0,-850987.82,0,0,850987.82,Loss,High,Review Required,Review margin and cost allocation
ERP0000045,TRX0000045,2025-07-05,2025-07,FY2026,Q1,Administration Expense,Middle East,Kuwait,Industrial Supplies,Administration,Mohamed Rafi,Digital Commerce,Tools,Tools 304,Enterprise,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,35009.1,0,0,0,0,0,0,35009.1,0,0,-35009.1,0,0,35009.1,Loss,High,Review Required,Review margin and cost allocation
ERP0000046,TRX0000046,2025-07-05,2025-07,FY2026,Q1,Operations Expense,Middle East,UAE,Industrial Supplies,Operations,Priya Nair,Digital Commerce,Tools,Tools 920,Retail,,,,,,,,,Level 3 - Head of Department,Escalated,Head of Department,12,0,0,0,0,0,0,0,58286.94,0,0,0,0,0,58286.94,0,0,-58286.94,0,0,58286.94,Loss,High,Review Required,Escalate to senior approver
ERP0000047,TRX0000047,2025-07-05,2025-07,FY2026,Q1,Marketing Expense,Middle East,Saudi Arabia,Consumer Electronics,Marketing,Priya Nair,Regional Growth,Accessories,Accessories 330,Enterprise,,,,,,,,,Level 3 - Head of Department,Escalated,Head of Department,14,0,0,0,0,0,0,0,0,52310.66,0,0,0,0,52310.66,0,0,-52310.66,0,0,52310.66,Loss,High,Review Required,Escalate to senior approver
ERP0000048,TRX0000048,2025-07-05,2025-07,FY2026,Q1,Customer Service Cost,Middle East,Kuwait,Office Equipment,Customer Service,Priya Nair,Enterprise Solutions,Workstations,Workstations 591,Channel Partner,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,0,0,0,0,69,35259.69,35259.69,0,0,-35259.69,0,0,35259.69,Loss,High,Review Required,Review margin and cost allocation
ERP0000049,TRX0000049,2025-07-05,2025-07,FY2026,Q1,Refund / Credit Note,Middle East,Saudi Arabia,Office Equipment,Finance,Grace Thomas,Core Products,Workstations,Workstations 804,SME,CUST00172,Customer 00172,,,CA-57821,Active,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,-22088.19,0,0,0,0,0,0,0,0,0,0,0,0,-22088.19,0,-22088.19,0,0,22088.19,Loss,High,Review Required,Review margin and cost allocation
ERP0000050,TRX0000050,2025-07-05,2025-07,FY2026,Q1,Approval Workflow,Middle East,Kuwait,Consumer Electronics,Finance,Noura Ahmed,Regional Growth,Accessories,Accessories 233,Government,,,,,,,,,Level 4 - CFO,Pending,CFO,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371870.24,Low Margin,High,Review Required,Follow up approval
ERP0000051,TRX0000051,2025-07-06,2025-07,FY2026,Q1,Sales Invoice,Middle East,Oman,Office Equipment,Sales,Mohamed Rafi,Customer Experience,Furniture,Furniture 500,Channel Partner,CUST00223,Customer 00223,,,CA-12626,Active,,,Level 3 - Head of Department,Rejected,Head of Department,0,103,149563.77,0,0,0,0,0,0,0,0,0,0,0,0,149563.77,1,149563.77,1,0,149563.77,Profitable,Medium,Normal,Monitor
ERP0000052,TRX0000052,2025-07-06,2025-07,FY2026,Q1,Purchase Order,Middle East,UAE,Industrial Supplies,Purchase,Sara Rahman,Core Products,Safety Equipment,Safety Equipment 384,Channel Partner,,,VEND00132,Vendor 00132,,,PA-37609,Expiring Soon,Level 3 - Head of Department,Escalated,Head of Department,17,0,0,79296.6,0,0,0,0,0,0,0,0,0,0,0,-79296.6,0,-79296.6,0,0,79296.6,Loss,High,Review Required,Escalate to senior approver
ERP0000053,TRX0000053,2025-07-06,2025-07,FY2026,Q1,Inventory Receipt,Middle East,Kuwait,Office Equipment,Inventory,Sara Rahman,Digital Commerce,Furniture,Furniture 730,SME,,,VEND00204,Vendor 00204,,,PA-55880,Active,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,24505.04,215766.46,253466.52,37700.06,0,0,0,0,0,0,0,0,-24505.04,0,-24505.04,0,0,37700.06,Loss,High,Review Required,Review margin and cost allocation
ERP0000054,TRX0000054,2025-07-06,2025-07,FY2026,Q1,Payroll Allocation,Middle East,Saudi Arabia,Healthcare Products,Payroll,Bilal Hussain,Regional Growth,Medical Supplies,Medical Supplies 510,SME,,,,,,,,,Level 4 - CFO,Escalated,CFO,21,0,0,0,0,0,0,0,0,0,24,242402.4,0,0,242402.4,0,0,-242402.4,0,0,242402.4,Loss,High,Review Required,Escalate to senior approver
ERP0000055,TRX0000055,2025-07-06,2025-07,FY2026,Q1,Administration Expense,Middle East,Bahrain,Healthcare Products,Administration,Priya Nair,Customer Experience,Medical Supplies,Medical Supplies 612,Retail,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,19841.1,0,0,0,0,0,0,19841.1,0,0,-19841.1,0,0,19841.1,Loss,High,Review Required,Review margin and cost allocation
ERP0000056,TRX0000056,2025-07-06,2025-07,FY2026,Q1,Operations Expense,Middle East,Bahrain,Industrial Supplies,Operations,Noura Ahmed,Digital Commerce,Tools,Tools 135,Retail,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,28420.01,0,0,0,0,0,28420.01,0,0,-28420.01,0,0,28420.01,Loss,High,Review Required,Review margin and cost allocation
ERP0000057,TRX0000057,2025-07-06,2025-07,FY2026,Q1,Marketing Expense,Middle East,UAE,Industrial Supplies,Marketing,Grace Thomas,Digital Commerce,Safety Equipment,Safety Equipment 437,Enterprise,,,,,,,,,Level 3 - Head of Department,Approved,Head of Department,0,0,0,0,0,0,0,0,0,63872.09,0,0,0,0,63872.09,0,0,-63872.09,0,0,63872.09,Loss,High,Review Required,Review margin and cost allocation
ERP0000058,TRX0000058,2025-07-06,2025-07,FY2026,Q1,Customer Service Cost,Middle East,Kuwait,Healthcare Products,Customer Service,Noura Ahmed,Digital Commerce,Medical Supplies,Medical Supplies 898,SME,,,,,,,,,Level 2 - Finance Manager,Approved,Finance Manager,0,0,0,0,0,0,0,0,0,0,0,0,31,19434.52,19434.52,0,0,-19434.52,0,0,19434.52,Loss,High,Review Required,Review margin and cost allocation
ERP0000059,TRX0000059,2025-07-06,2025-07,FY2026,Q1,Refund / Credit Note,Middle East,UAE,Industrial Supplies,Finance,Priya Nair,Enterprise Solutions,Tools,Tools 226,Retail,CUST00477,Customer 00477,,,CA-74812,Active,,,Level 1 - Department Manager,Approved,Department Manager,0,0,-2441.22,0,0,0,0,0,0,0,0,0,0,0,0,-2441.22,0,-2441.22,0,0,2441.22,Loss,High,Review Required,Review margin and cost allocation
ERP0000060,TRX0000060,2025-07-06,2025-07,FY2026,Q1,Approval Workflow,Middle East,Oman,Software Services,Finance,Bilal Hussain,Enterprise Solutions,Support Plan,Support Plan 477,Government,,,,,,,,,Level 3 - Head of Department,Approved,Head of Department,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104926.05,Low Margin,Medium,Normal,Monitor
ERP0000061,TRX0000061,2025-07-07,2025-07,FY2026,Q1,Sales Invoice,Middle East,Bahrain,Consumer Electronics,Sales,Priya Nair,Regional Growth,Smart Devices,Smart Devices 789,SME,CUST00548,Customer 00548,,,CA-97617,Active,,,Level 3 - Head of Department,Approved,Head of Department,0,127,72572.31,0,0,0,0,0,0,0,0,0,0,0,0,72572.31,1,72572.31,1,0,72572.31,Profitable,Low,Normal,Monitor
