record_id,case_date,department,business_area,process_type,source_system,transaction_amount,budget_amount,variance_amount,approval_status,invoice_status,sla_status,risk_level,exception_type,priority_level,owner_name,recommended_action,case_status,days_pending,pending_approval_flag,overdue_invoice_flag,payroll_exception_flag,sla_breach_flag,high_priority_flag,exposure_amount
OPS000015,2026-01-14,Access Management,IT Operations,Asset Provisioning,Endpoint Manager,1985.01,2166.21,-181.2,Pending,Not Applicable,Breached,Medium,SLA breach,P2 - Same Week,Mohamed Rafi,Escalate service owner,Open,8,1,0,0,1,0,1985.01
OPS000016,2026-01-20,Infrastructure,IT Operations,Asset Provisioning,ITSM,16477.55,16745.07,-267.52,Approved,Not Applicable,Breached,Medium,SLA breach,P1 - Immediate,Grace Thomas,Escalate service owner,Open,26,0,0,0,1,1,16477.55
OPS000017,2026-02-12,Internal Control,Compliance,Policy Attestation,SharePoint,23199.69,25845.66,-2645.97,Approved,Overdue,At Risk,Medium,Evidence missing,P1 - Immediate,Noura Ahmed,Upload audit evidence,Open,31,0,1,0,0,1,23199.69
OPS000018,2026-01-15,WPS Compliance,Payroll,Salary Adjustment,Payroll Engine,64838.04,59095.53,5742.51,Approved,Current,Breached,Low,Payroll variance,P1 - Immediate,Sara Rahman,Validate payroll variance,Open,32,0,0,0,1,1,64838.04
OPS000019,2026-01-18,Employee Relations,HR,Employee Onboarding,D365 HR,23569.11,24225.98,-656.87,Approved,Not Applicable,Within SLA,Medium,Missing employee document,P1 - Immediate,Noura Ahmed,Collect missing document,Open,33,0,0,0,0,1,23569.11
OPS000020,2026-03-22,Payroll Operations,Payroll,WPS File Submission,WPS Bank Portal,58735.22,56385.78,2349.44,Approved,Overdue,Within SLA,Low,Payroll variance,P2 - Same Week,Mohamed Rafi,Validate payroll variance,Open,6,0,1,0,0,0,58735.22
OPS000021,2026-02-03,General Ledger,Finance,Invoice Processing,D365 F&O,35986.02,34873.77,1112.25,Approved,Not Applicable,Breached,Medium,Budget overrun,P1 - Immediate,Noura Ahmed,Review budget exception,Open,33,0,0,0,1,1,35986.02
OPS000022,2026-01-27,Compliance Review,Compliance,Control Review,GRC Tool,18689.21,16113.45,2575.76,Approved,Not Applicable,Within SLA,Medium,Control gap,P2 - Same Week,Aisha Khan,Create remediation plan,Open,16,0,0,0,0,0,18689.21
OPS000023,2026-04-19,Recruitment,HR,Employee Onboarding,HRMS,19392.42,20456.0,-1063.58,Approved,Overdue,Within SLA,Low,Delayed onboarding,P3 - Standard,Sara Rahman,Escalate onboarding owner,Open,0,0,1,0,0,0,19392.42
OPS000024,2026-04-05,Purchase Control,Procurement,Contract Approval,ERP Procurement,17474.85,15799.52,1675.33,Pending,Overdue,Breached,High,PO approval delay,P1 - Immediate,Omar Ali,Escalate PO approval,In Progress,13,1,1,0,1,1,17474.85
OPS000025,2026-05-24,General Ledger,Finance,Month-End Closing,Bank Portal,111277.25,96629.68,14647.57,Pending,Overdue,Within SLA,High,Overdue invoice,P1 - Immediate,Grace Thomas,Prioritize vendor payment,Open,11,1,1,0,0,1,111277.25
OPS000026,2026-03-05,Infrastructure,IT Operations,Access Request,Endpoint Manager,9872.27,8050.74,1821.53,Approved,Not Applicable,Breached,Medium,SLA breach,P2 - Same Week,Grace Thomas,Escalate service owner,In Progress,14,0,0,0,1,0,9872.27
OPS000027,2026-01-18,General Ledger,Finance,Payment Approval,Bank Portal,49462.21,61361.57,-11899.36,Pending,Paid,Within SLA,High,Payment approval delay,P1 - Immediate,Noura Ahmed,Escalate finance approval,In Progress,11,1,0,0,0,1,49462.21
OPS000028,2026-06-02,Recruitment,HR,Contract Renewal,Service Desk,11191.65,13359.41,-2167.76,Approved,Paid,Within SLA,Low,Delayed onboarding,P1 - Immediate,Mohamed Rafi,Escalate onboarding owner,Open,27,0,0,0,0,1,11191.65
OPS000029,2026-01-18,Treasury,Finance,Payment Approval,Bank Portal,80448.03,65348.95,15099.08,Pending,Current,At Risk,Low,Budget overrun,P1 - Immediate,Mohamed Rafi,Review budget exception,In Progress,18,1,0,0,0,1,80448.03
OPS000030,2026-04-08,Treasury,Finance,Month-End Closing,D365 F&O,69369.87,66112.09,3257.78,Pending,Not Applicable,Within SLA,Medium,Payment approval delay,P1 - Immediate,Priya Nair,Escalate finance approval,In Progress,20,1,0,0,0,1,69369.87
OPS000031,2026-05-11,Vendor Management,Procurement,Contract Approval,ERP Procurement,12463.48,12559.77,-96.29,Approved,Not Applicable,At Risk,Medium,Price variance,P2 - Same Week,Mohamed Rafi,Review procurement variance,Open,19,0,0,0,0,0,12463.48
OPS000032,2026-01-12,Payroll Operations,Payroll,WPS File Submission,Payroll Engine,41433.29,44633.07,-3199.78,Approved,Overdue,Within SLA,Low,Payroll variance,P2 - Same Week,Aisha Khan,Validate payroll variance,In Progress,9,0,1,0,0,0,41433.29
OPS000033,2026-01-28,Internal Control,Compliance,Policy Attestation,GRC Tool,13189.96,10816.92,2373.04,Approved,Overdue,Within SLA,Medium,Policy attestation overdue,P1 - Immediate,Bilal Hussain,Send compliance reminder,Closed,33,0,1,0,0,1,0
OPS000034,2026-04-24,Audit Support,Compliance,Audit Evidence,Compliance Register,20848.94,21248.17,-399.23,Pending,Overdue,Within SLA,Low,Evidence missing,P2 - Same Week,Noura Ahmed,Upload audit evidence,Closed,15,1,1,0,0,0,0
OPS000035,2026-05-14,Infrastructure,IT Operations,Asset Provisioning,ITSM,11276.88,12240.13,-963.25,Approved,Not Applicable,Breached,Low,Access approval pending,P3 - Standard,Sara Rahman,Approve or reject access request,Open,9,0,0,0,1,0,11276.88
OPS000036,2026-01-17,Vendor Management,Procurement,Vendor Onboarding,Vendor Portal,57246.11,44716.82,12529.29,Pending,Not Applicable,At Risk,High,Price variance,P1 - Immediate,Grace Thomas,Review procurement variance,Closed,1,1,0,0,0,1,0
OPS000037,2026-04-01,General Ledger,Finance,Payment Approval,ERP Finance,90333.09,92416.73,-2083.64,Pending,Not Applicable,Within SLA,Low,Payment approval delay,P1 - Immediate,Grace Thomas,Escalate finance approval,In Progress,1,1,0,0,0,1,90333.09
OPS000038,2026-04-30,IT Service Desk,IT Operations,Asset Provisioning,Endpoint Manager,22719.76,23554.87,-835.11,Approved,Not Applicable,Breached,Medium,SLA breach,P2 - Same Week,Mohamed Rafi,Escalate service owner,In Progress,11,0,0,0,1,0,22719.76
OPS000039,2026-03-28,General Ledger,Finance,Payment Approval,ERP Finance,100602.03,99108.43,1493.6,Pending,Not Applicable,Breached,Low,Budget overrun,P1 - Immediate,Aisha Khan,Review budget exception,Closed,4,1,0,0,1,1,0
OPS000040,2026-03-05,IT Service Desk,IT Operations,Access Request,Endpoint Manager,6344.35,6277.25,67.1,Approved,Paid,Breached,Medium,SLA breach,P1 - Immediate,Omar Ali,Escalate service owner,In Progress,23,0,0,0,1,1,6344.35
OPS000041,2026-02-11,Infrastructure,IT Operations,Access Request,Endpoint Manager,23257.74,23962.88,-705.14,Pending,Not Applicable,Breached,Medium,SLA breach,P2 - Same Week,Omar Ali,Escalate service owner,Closed,15,1,0,0,1,0,0
OPS000042,2026-05-25,IT Service Desk,IT Operations,Incident Resolution,Endpoint Manager,16707.27,13826.65,2880.62,Approved,Not Applicable,Within SLA,Low,Access approval pending,P1 - Immediate,Priya Nair,Approve or reject access request,Closed,27,0,0,0,0,1,0
OPS000043,2026-04-22,Procurement Operations,Procurement,Contract Approval,D365 F&O,34234.68,39510.23,-5275.55,Approved,Current,Within SLA,Medium,Price variance,P2 - Same Week,Mohamed Rafi,Review procurement variance,Open,17,0,0,0,0,0,34234.68
OPS000044,2026-01-23,Infrastructure,IT Operations,Incident Resolution,ITSM,14461.32,15434.21,-972.89,Approved,Current,Within SLA,Low,Access approval pending,P1 - Immediate,Bilal Hussain,Approve or reject access request,Closed,22,0,0,0,0,1,0
OPS000045,2026-06-02,WPS Compliance,Payroll,WPS File Submission,Payroll Engine,46330.18,43467.5,2862.68,Approved,Current,Within SLA,Low,Payroll variance,P1 - Immediate,Priya Nair,Validate payroll variance,In Progress,30,0,0,0,0,1,46330.18
OPS000046,2026-01-05,Accounts Payable,Finance,Payment Approval,D365 F&O,83784.99,75666.48,8118.51,Approved,Current,Within SLA,Low,Budget overrun,P1 - Immediate,Priya Nair,Review budget exception,Open,35,0,0,0,0,1,83784.99
OPS000047,2026-03-06,Payroll Operations,Payroll,Monthly Payroll,Payroll Engine,30243.84,31712.97,-1469.13,Rejected,Overdue,Within SLA,Medium,Payroll variance,P2 - Same Week,Noura Ahmed,Validate payroll variance,In Progress,17,0,1,1,0,0,30243.84
OPS000048,2026-02-19,Internal Control,Compliance,Policy Attestation,SharePoint,7905.56,8563.36,-657.8,Approved,Not Applicable,Within SLA,High,Control gap,P1 - Immediate,Omar Ali,Create remediation plan,In Progress,8,0,0,0,0,1,7905.56
OPS000049,2026-05-27,Infrastructure,IT Operations,Incident Resolution,Azure AD,8847.3,10494.66,-1647.36,Approved,Paid,Within SLA,Low,Access approval pending,P1 - Immediate,Aisha Khan,Approve or reject access request,Open,31,0,0,0,0,1,8847.3
OPS000050,2026-05-25,Compensation,Payroll,Monthly Payroll,D365 F&O,49645.84,48813.52,832.32,Approved,Current,At Risk,Low,Payroll variance,P1 - Immediate,Grace Thomas,Validate payroll variance,Open,28,0,0,0,0,1,49645.84
OPS000051,2026-06-08,Accounts Payable,Finance,Month-End Closing,Bank Portal,113841.85,97208.87,16632.98,Pending,Overdue,Within SLA,Medium,Overdue invoice,P1 - Immediate,Priya Nair,Prioritize vendor payment,In Progress,4,1,1,0,0,1,113841.85
OPS000052,2026-03-01,Compensation,Payroll,Salary Adjustment,WPS Bank Portal,73768.54,67441.85,6326.69,Approved,Not Applicable,At Risk,Medium,Bank file rejection,P2 - Same Week,Mohamed Rafi,Resubmit bank file,In Progress,12,0,0,1,0,0,73768.54
OPS000053,2026-03-10,Procurement Operations,Procurement,Purchase Order,ERP Procurement,95633.86,100178.57,-4544.71,Pending,Paid,Within SLA,Low,Vendor document expired,P1 - Immediate,Noura Ahmed,Request vendor document refresh,In Progress,19,1,0,0,0,1,95633.86
OPS000054,2026-05-07,General Ledger,Finance,Invoice Processing,Bank Portal,107007.19,119555.6,-12548.41,Pending,Overdue,Within SLA,High,Overdue invoice,P1 - Immediate,Noura Ahmed,Prioritize vendor payment,In Progress,1,1,1,0,0,1,107007.19
OPS000055,2026-02-14,Vendor Management,Procurement,Contract Approval,D365 F&O,110138.55,92598.39,17540.16,Pending,Current,Within SLA,Low,PO approval delay,P1 - Immediate,Bilal Hussain,Escalate PO approval,In Progress,22,1,0,0,0,1,110138.55
OPS000056,2026-02-11,Vendor Management,Procurement,Vendor Onboarding,D365 F&O,36365.59,44460.45,-8094.86,Pending,Current,Within SLA,Low,PO approval delay,P1 - Immediate,Grace Thomas,Escalate PO approval,Open,20,1,0,0,0,1,36365.59
OPS000057,2026-01-01,Access Management,IT Operations,Asset Provisioning,Azure AD,1828.0,1841.48,-13.48,Approved,Current,Within SLA,Low,Access approval pending,P2 - Same Week,Noura Ahmed,Approve or reject access request,In Progress,17,0,0,0,0,0,1828.0
OPS000058,2026-06-28,General Ledger,Finance,Invoice Processing,D365 F&O,74042.42,64390.9,9651.52,Pending,Current,Within SLA,Low,Payment approval delay,P2 - Same Week,Omar Ali,Escalate finance approval,In Progress,7,1,0,0,0,0,74042.42
OPS000059,2026-02-09,Vendor Management,Procurement,Contract Approval,Vendor Portal,85385.87,81777.9,3607.97,Approved,Current,Within SLA,Low,Price variance,P1 - Immediate,Sara Rahman,Review procurement variance,Closed,12,0,0,0,0,1,0
OPS000060,2026-03-12,Infrastructure,IT Operations,Incident Resolution,Endpoint Manager,20603.46,18813.75,1789.71,Approved,Current,Breached,Low,Access approval pending,P3 - Standard,Priya Nair,Approve or reject access request,In Progress,9,0,0,0,1,0,20603.46
OPS000061,2026-05-22,Treasury,Finance,Payment Approval,ERP Finance,104678.2,129841.51,-25163.31,Approved,Not Applicable,Breached,Low,Budget overrun,P1 - Immediate,Grace Thomas,Review budget exception,In Progress,20,0,0,0,1,1,104678.2
OPS000062,2026-06-19,Treasury,Finance,Invoice Processing,ERP Finance,17333.94,21367.15,-4033.21,Pending,Overdue,At Risk,Medium,Overdue invoice,P1 - Immediate,Sara Rahman,Prioritize vendor payment,Open,29,1,1,0,0,1,17333.94
OPS000063,2026-03-09,Recruitment,HR,Leave Approval,Service Desk,16421.0,18731.54,-2310.54,Pending,Paid,Within SLA,Low,Delayed onboarding,P1 - Immediate,Aisha Khan,Escalate onboarding owner,Closed,31,1,0,0,0,1,0
OPS000064,2026-03-02,Purchase Control,Procurement,Contract Approval,Vendor Portal,90245.05,87265.68,2979.37,Approved,Current,Breached,Low,Vendor document expired,P1 - Immediate,Aisha Khan,Request vendor document refresh,Closed,19,0,0,0,1,1,0
OPS000065,2026-01-15,General Ledger,Finance,Payment Approval,ERP Finance,19604.45,19909.95,-305.5,Approved,Overdue,Within SLA,Low,Budget overrun,P1 - Immediate,Mohamed Rafi,Review budget exception,In Progress,24,0,1,0,0,1,19604.45
OPS000066,2026-05-30,Accounts Payable,Finance,Invoice Processing,ERP Finance,32342.34,28385.69,3956.65,Pending,Overdue,Breached,Medium,Payment approval delay,P2 - Same Week,Bilal Hussain,Escalate finance approval,Open,10,1,1,0,1,0,32342.34
OPS000067,2026-03-18,Audit Support,Compliance,Control Review,Compliance Register,11692.48,10767.0,925.48,Rejected,Paid,Within SLA,Low,Evidence missing,P1 - Immediate,Noura Ahmed,Upload audit evidence,In Progress,22,0,0,0,0,1,11692.48
OPS000068,2026-06-18,Recruitment,HR,Contract Renewal,HRMS,21694.15,24109.24,-2415.09,Rejected,Paid,At Risk,Medium,Approval pending,P2 - Same Week,Mohamed Rafi,Send approval reminder,Closed,18,0,0,0,0,0,0
OPS000069,2026-04-01,Procurement Operations,Procurement,Contract Approval,ERP Procurement,31948.65,36031.33,-4082.68,Pending,Overdue,Within SLA,Low,Price variance,P2 - Same Week,Priya Nair,Review procurement variance,Open,2,1,1,0,0,0,31948.65
OPS000070,2026-04-04,Employee Relations,HR,Employee Onboarding,HRMS,8504.62,8217.17,287.45,Approved,Overdue,Breached,Low,Delayed onboarding,P1 - Immediate,Sara Rahman,Escalate onboarding owner,Closed,32,0,1,0,1,1,0
OPS000071,2026-05-04,Compensation,Payroll,Salary Adjustment,WPS Bank Portal,42466.51,38859.4,3607.11,Pending,Not Applicable,At Risk,Medium,Payroll variance,P1 - Immediate,Bilal Hussain,Validate payroll variance,Closed,25,1,0,1,0,1,0
OPS000072,2026-04-12,People Operations,HR,Contract Renewal,Service Desk,11642.26,12447.11,-804.85,Approved,Current,At Risk,High,Missing employee document,P1 - Immediate,Priya Nair,Collect missing document,In Progress,6,0,0,0,0,1,11642.26
OPS000073,2026-05-24,Recruitment,HR,Leave Approval,HRMS,2048.82,2314.23,-265.41,Pending,Not Applicable,Within SLA,Low,Approval pending,P3 - Standard,Priya Nair,Send approval reminder,Open,2,1,0,0,0,0,2048.82
OPS000074,2026-03-02,Employee Relations,HR,Employee Onboarding,D365 HR,9589.78,11313.57,-1723.79,Pending,Current,Within SLA,Medium,Delayed onboarding,P1 - Immediate,Priya Nair,Escalate onboarding owner,In Progress,26,1,0,0,0,1,9589.78
OPS000075,2026-03-13,Procurement Operations,Procurement,Contract Approval,Vendor Portal,54597.51,66897.11,-12299.6,Pending,Not Applicable,At Risk,Medium,Vendor document expired,P1 - Immediate,Noura Ahmed,Request vendor document refresh,Open,22,1,0,0,0,1,54597.51
OPS000076,2026-02-01,Compensation,Payroll,Monthly Payroll,Payroll Engine,56336.36,57430.93,-1094.57,Approved,Overdue,Within SLA,Low,Payroll variance,P2 - Same Week,Mohamed Rafi,Validate payroll variance,Open,13,0,1,0,0,0,56336.36
OPS000077,2026-03-01,Vendor Management,Procurement,Purchase Order,D365 F&O,35079.79,43569.59,-8489.8,Rejected,Current,At Risk,Low,Vendor document expired,P2 - Same Week,Bilal Hussain,Request vendor document refresh,Open,1,0,0,0,0,0,35079.79
OPS000078,2026-03-02,Access Management,IT Operations,Incident Resolution,ITSM,7001.5,5956.2,1045.3,Approved,Not Applicable,Breached,Medium,SLA breach,P1 - Immediate,Mohamed Rafi,Escalate service owner,Open,23,0,0,0,1,1,7001.5
OPS000079,2026-01-12,Audit Support,Compliance,Audit Evidence,Compliance Register,11722.04,13897.77,-2175.73,Approved,Current,Within SLA,Medium,Evidence missing,P1 - Immediate,Priya Nair,Upload audit evidence,In Progress,31,0,0,0,0,1,11722.04
OPS000080,2026-01-21,Recruitment,HR,Leave Approval,HRMS,3591.69,3770.29,-178.6,Approved,Overdue,Within SLA,Medium,Missing employee document,P2 - Same Week,Grace Thomas,Collect missing document,In Progress,18,0,1,0,0,0,3591.69
OPS000081,2026-06-29,People Operations,HR,Leave Approval,Service Desk,18160.58,16090.44,2070.14,Approved,Not Applicable,Within SLA,Low,Approval pending,P1 - Immediate,Bilal Hussain,Send approval reminder,In Progress,26,0,0,0,0,1,18160.58
OPS000082,2026-06-20,General Ledger,Finance,Payment Approval,D365 F&O,110950.74,86937.3,24013.44,Pending,Not Applicable,Within SLA,Medium,Payment approval delay,P1 - Immediate,Bilal Hussain,Escalate finance approval,In Progress,8,1,0,0,0,1,110950.74
OPS000083,2026-04-16,Vendor Management,Procurement,Contract Approval,Vendor Portal,8544.91,7637.57,907.34,Approved,Not Applicable,Within SLA,Low,Price variance,P1 - Immediate,Omar Ali,Review procurement variance,Open,30,0,0,0,0,1,8544.91
OPS000084,2026-05-23,General Ledger,Finance,Invoice Processing,ERP Finance,29073.69,28043.21,1030.48,Pending,Overdue,At Risk,Medium,Payment approval delay,P1 - Immediate,Noura Ahmed,Escalate finance approval,Open,35,1,1,0,0,1,29073.69
OPS000085,2026-03-11,Employee Relations,HR,Contract Renewal,D365 HR,649.59,745.69,-96.1,Approved,Current,Within SLA,Medium,Delayed onboarding,P2 - Same Week,Mohamed Rafi,Escalate onboarding owner,Open,1,0,0,0,0,0,649.59
OPS000086,2026-04-27,General Ledger,Finance,Invoice Processing,ERP Finance,87287.53,99369.68,-12082.15,Approved,Not Applicable,Within SLA,Low,Budget overrun,P1 - Immediate,Noura Ahmed,Review budget exception,In Progress,3,0,0,0,0,1,87287.53
OPS000087,2026-04-19,General Ledger,Finance,Month-End Closing,ERP Finance,34597.1,39007.25,-4410.15,Approved,Current,Within SLA,Medium,Budget overrun,P1 - Immediate,Noura Ahmed,Review budget exception,In Progress,31,0,0,0,0,1,34597.1
OPS000088,2026-04-12,Employee Relations,HR,Employee Onboarding,HRMS,7884.77,6974.03,910.74,Approved,Not Applicable,Within SLA,Low,Missing employee document,P1 - Immediate,Grace Thomas,Collect missing document,Open,27,0,0,0,0,1,7884.77
OPS000089,2026-02-28,Treasury,Finance,Month-End Closing,Bank Portal,10968.87,12952.94,-1984.07,Approved,Not Applicable,Breached,Medium,Budget overrun,P1 - Immediate,Grace Thomas,Review budget exception,In Progress,27,0,0,0,1,1,10968.87
OPS000090,2026-04-14,Payroll Operations,Payroll,WPS File Submission,D365 F&O,41807.75,43393.18,-1585.43,Approved,Current,Within SLA,Low,Bank file rejection,P1 - Immediate,Grace Thomas,Resubmit bank file,In Progress,25,0,0,0,0,1,41807.75
OPS000091,2026-03-28,IT Service Desk,IT Operations,Incident Resolution,ITSM,13006.84,10998.72,2008.12,Approved,Paid,Breached,Medium,SLA breach,P2 - Same Week,Mohamed Rafi,Escalate service owner,Open,9,0,0,0,1,0,13006.84
OPS000092,2026-02-09,WPS Compliance,Payroll,Monthly Payroll,D365 F&O,44529.36,46795.42,-2266.06,Pending,Current,Breached,Medium,Bank file rejection,P1 - Immediate,Bilal Hussain,Resubmit bank file,Closed,20,1,0,1,1,1,0
OPS000093,2026-01-18,Compensation,Payroll,WPS File Submission,Payroll Engine,68706.37,69962.59,-1256.22,Approved,Not Applicable,Within SLA,High,WPS validation error,P1 - Immediate,Omar Ali,Correct WPS file,Open,23,0,0,1,0,1,68706.37
OPS000094,2026-05-10,Vendor Management,Procurement,Vendor Onboarding,D365 F&O,114622.2,128315.03,-13692.83,Approved,Paid,Within SLA,Low,Price variance,P1 - Immediate,Aisha Khan,Review procurement variance,In Progress,30,0,0,0,0,1,114622.2
OPS000095,2026-03-29,Treasury,Finance,Invoice Processing,Bank Portal,22775.67,19903.02,2872.65,Pending,Current,Within SLA,Low,Payment approval delay,P1 - Immediate,Grace Thomas,Escalate finance approval,Closed,23,1,0,0,0,1,0
OPS000096,2026-03-28,Treasury,Finance,Month-End Closing,D365 F&O,78558.38,61507.75,17050.63,Pending,Overdue,Within SLA,Medium,Payment approval delay,P1 - Immediate,Sara Rahman,Escalate finance approval,Open,9,1,1,0,0,1,78558.38
OPS000097,2026-03-21,Audit Support,Compliance,Audit Evidence,Compliance Register,3659.32,3965.0,-305.68,Approved,Current,At Risk,Low,Evidence missing,P3 - Standard,Omar Ali,Upload audit evidence,In Progress,8,0,0,0,0,0,3659.32
OPS000098,2026-04-19,Purchase Control,Procurement,Vendor Onboarding,ERP Procurement,38791.76,47542.59,-8750.83,Pending,Overdue,Within SLA,High,PO approval delay,P1 - Immediate,Omar Ali,Escalate PO approval,Open,9,1,1,0,0,1,38791.76
OPS000099,2026-05-19,Treasury,Finance,Month-End Closing,D365 F&O,42069.81,47671.57,-5601.76,Pending,Not Applicable,Within SLA,Medium,Payment approval delay,P2 - Same Week,Aisha Khan,Escalate finance approval,In Progress,10,1,0,0,0,0,42069.81
OPS000100,2026-06-23,Treasury,Finance,Invoice Processing,ERP Finance,35979.03,40450.08,-4471.05,Pending,Current,Within SLA,Medium,Payment approval delay,P1 - Immediate,Mohamed Rafi,Escalate finance approval,Closed,30,1,0,0,0,1,0
OPS000101,2026-05-27,General Ledger,Finance,Payment Approval,ERP Finance,61591.54,59086.64,2504.9,Approved,Not Applicable,Within SLA,Medium,Budget overrun,P2 - Same Week,Bilal Hussain,Review budget exception,In Progress,3,0,0,0,0,0,61591.54
OPS000102,2026-01-27,Purchase Control,Procurement,Contract Approval,ERP Procurement,12355.33,10256.85,2098.48,Pending,Current,At Risk,Low,PO approval delay,P2 - Same Week,Bilal Hussain,Escalate PO approval,Closed,14,1,0,0,0,0,0
OPS000103,2026-04-17,Compliance Review,Compliance,Control Review,Compliance Register,6276.56,7518.13,-1241.57,Approved,Not Applicable,Breached,Medium,Evidence missing,P1 - Immediate,Sara Rahman,Upload audit evidence,Closed,21,0,0,0,1,1,0
OPS000104,2026-05-01,Employee Relations,HR,Employee Onboarding,Service Desk,11490.74,9216.73,2274.01,Approved,Not Applicable,At Risk,Medium,Delayed onboarding,P1 - Immediate,Noura Ahmed,Escalate onboarding owner,In Progress,33,0,0,0,0,1,11490.74
OPS000105,2026-02-01,Payroll Operations,Payroll,Monthly Payroll,WPS Bank Portal,68511.93,67924.28,587.65,Approved,Paid,Within SLA,Low,Bank file rejection,P1 - Immediate,Sara Rahman,Resubmit bank file,In Progress,32,0,0,0,0,1,68511.93
OPS000106,2026-01-01,WPS Compliance,Payroll,WPS File Submission,D365 F&O,38325.41,39585.33,-1259.92,Approved,Paid,Within SLA,Medium,Bank file rejection,P1 - Immediate,Aisha Khan,Resubmit bank file,Closed,32,0,0,1,0,1,0
OPS000107,2026-05-01,Accounts Payable,Finance,Month-End Closing,ERP Finance,32303.91,24490.28,7813.63,Pending,Not Applicable,At Risk,Medium,Budget overrun,P1 - Immediate,Bilal Hussain,Review budget exception,Open,21,1,0,0,0,1,32303.91
OPS000108,2026-06-14,Procurement Operations,Procurement,Contract Approval,Vendor Portal,58727.41,49397.91,9329.5,Approved,Overdue,Breached,Low,Price variance,P2 - Same Week,Mohamed Rafi,Review procurement variance,Open,12,0,1,0,1,0,58727.41
